"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2001"	"2001"	"10 years"	"10"	3	4277249	Unreliable
	"2001"	"2001"	"11 years"	"11"	5	4344913	Unreliable
	"2001"	"2001"	"13 years"	"13"	12	4113191	Unreliable
	"2001"	"2001"	"14 years"	"14"	16	4059370	Unreliable
	"2001"	"2001"	"15 years"	"15"	27	4083878	0.7
	"2001"	"2001"	"16 years"	"16"	65	4108304	1.6
	"2001"	"2001"	"17 years"	"17"	86	4028736	2.1
	"2001"	"2001"	"18 years"	"18"	126	4102851	3.1
	"2001"	"2001"	"19 years"	"19"	204	4132515	4.9
	"2001"	"2001"	"20 years"	"20"	208	4156725	5.0
	"2001"	"2001"	"21 years"	"21"	229	4133311	5.5
	"2001"	"2001"	"22 years"	"22"	243	3919316	6.2
	"2001"	"2001"	"23 years"	"23"	253	3798554	6.7
	"2001"	"2001"	"24 years"	"24"	259	3749380	6.9
	"2001"	"2001"	"25 years"	"25"	236	3659719	6.4
	"2001"	"2001"	"26 years"	"26"	256	3768152	6.8
	"2001"	"2001"	"27 years"	"27"	280	3668700	7.6
	"2001"	"2001"	"28 years"	"28"	319	3766129	8.5
	"2001"	"2001"	"29 years"	"29"	326	3956647	8.2
	"2001"	"2001"	"30 years"	"30"	371	4218260	8.8
	"2001"	"2001"	"31 years"	"31"	345	4302689	8.0
	"2001"	"2001"	"32 years"	"32"	416	4082902	10.2
	"2001"	"2001"	"33 years"	"33"	445	4014912	11.1
	"2001"	"2001"	"34 years"	"34"	416	4033412	10.3
	"2001"	"2001"	"35 years"	"35"	500	4161140	12.0
	"2001"	"2001"	"36 years"	"36"	552	4457678	12.4
	"2001"	"2001"	"37 years"	"37"	646	4534648	14.2
	"2001"	"2001"	"38 years"	"38"	717	4529329	15.8
	"2001"	"2001"	"39 years"	"39"	753	4553123	16.5
	"2001"	"2001"	"40 years"	"40"	766	4606601	16.6
	"2001"	"2001"	"41 years"	"41"	746	4700471	15.9
	"2001"	"2001"	"42 years"	"42"	716	4514435	15.9
	"2001"	"2001"	"43 years"	"43"	790	4523433	17.5
	"2001"	"2001"	"44 years"	"44"	782	4470894	17.5
	"2001"	"2001"	"45 years"	"45"	778	4301955	18.1
